food,merge
"Beans, Dry, Great Northern, 688 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 689 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 693 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 694 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 697 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 706 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 713 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 716 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 723 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 726 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 730 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 741 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 742 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 748 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 762 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 763 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 766 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 768 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 777 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 778 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 780 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 788 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 789 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 790 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 792 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 800 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 818 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 822 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 824 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 826 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 827 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 828 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Light Red Kidney (0% moisture)","Beans, Dry, Light Red Kidney"
"Beans, Dry, Light Red Kidney, 11F-8186 (0% moisture)","Beans, Dry, Light Red Kidney"
"Beans, Dry, Light Tan (0% moisture)","Beans, Dry, Light Tan"
"Beans, Dry, Light Tan, 11F-8086 (0% moisture)","Beans, Dry, Light Tan"
"Beans, Dry, Light Tan, 11F-8174 (0% moisture)","Beans, Dry, Light Tan"
"Beans, Dry, Medium Red (0% moisture)","Beans, Dry, Medium Red"
"Beans, Dry, Medium Red, 490 (0% moisture)","Beans, Dry, Medium Red"
"Beans, Dry, Medium Red, 756 (0% moisture)","Beans, Dry, Medium Red"
"Beans, Dry, Navy (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8004 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8007 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8027 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8028 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8030 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8043 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8098 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8107 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8143 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8162 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8165 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8179 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8183 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 11F-8195 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 213 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 216 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 220 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 226 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 228 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 229 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 230 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 233 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 234 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 236 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 237 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 241 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 242 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 245 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 246 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 252 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 253 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 255 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 256 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 257 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 260 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 261 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 262 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 264 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 268 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 277 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 279 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 280 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 281 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 283 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 284 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 287 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 289 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 290 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 292 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 294 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 295 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 299 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 307 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 308 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 311 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 312 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 313 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 316 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 319 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 320 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 386 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 422 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 476 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 521 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 523 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 524 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 525 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 530 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 532 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 535 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 539 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 541 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 543 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 546 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 548 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 551 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 554 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 555 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 556 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 557 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 558 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 559 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 560 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 561 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 565 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 567 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 568 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 576 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 578 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 582 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 584 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 585 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 586 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 587 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 588 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 589 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 595 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 598 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 599 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 603 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 605 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 609 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 612 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 613 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 614 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 623 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 626 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 627 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 628 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 719 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 721 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Navy, 771 (0% moisture)","Beans, Dry, Navy"
"Beans, Dry, Pink (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8018 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8019 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8034 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8041 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8058 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8059 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8082 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8084 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8105 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8124 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8136 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8149 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8156 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8187 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8188 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8190 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8193 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 11F-8197 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 321 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 338 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 342 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 354 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 359 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 399 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 404 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 411 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 430 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 433 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 445 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 448 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 461 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 477 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 478 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 481 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 483 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 486 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 502 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 504 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 629 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 636 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 641 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 652 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 664 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 687 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 699 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 701 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 712 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 725 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 732 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 739 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 752 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 779 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 794 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 796 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 803 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 817 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pink, 819 (0% moisture)","Beans, Dry, Pink"
"Beans, Dry, Pinto (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8006 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8012 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8024 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8026 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8031 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8032 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8035 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8037 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8038 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8047 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8048 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8049 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8054 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8055 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8065 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8069 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8070 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8072 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8075 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8076 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8078 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8079 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8081 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8083 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8088 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8089 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8091 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8094 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8095 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8096 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8099 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8100 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8101 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8102 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8103 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8106 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8108 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8109 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8114 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8118 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8120 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8121 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8126 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8133 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8144 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8147 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8151 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8157 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8159 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8164 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8166 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8167 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8170 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8173 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8176 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8178 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8181 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8182 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8189 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8191 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8196 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 11F-8198 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 218 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 224 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 270 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 322 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 324 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 325 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 326 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 328 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 329 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 333 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 334 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 336 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 340 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 343 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 349 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 352 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 353 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 355 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 356 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 358 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 360 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 361 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 362 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 365 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 366 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 367 (0% moisture)","Beans, Dry, Pinto"
