food,merge
"Pokeberry shoots, (poke), raw",
"Pomegranate juice, bottled",
"Pomegranates, raw",
"Popcorn, microwave, low fat and sodium",
"Popcorn, microwave, regular (butter) flavor, made with palm oil",
"Popcorn, sugar syrup/caramel, fat-free",
"Potato chips, without salt, reduced fat",
Potato flour,
Potato pancakes,
"Potato puffs, frozen, oven-heated",
"Potato puffs, frozen, unprepared",
Potato salad with egg,
"Potato salad, home-prepared",
"Potato soup, instant, dry mix",
"Potatoes, Russet, flesh and skin, baked",
"Potatoes, au gratin, dry mix, prepared with water, whole milk and butter",
"Potatoes, au gratin, dry mix, unprepared",
"Potatoes, au gratin, home-prepared from recipe using butter",
"Potatoes, au gratin, home-prepared from recipe using margarine",
"Potatoes, baked, flesh",
"Potatoes, baked, flesh and skin",
"Potatoes, baked, skin only, with salt",
"Potatoes, baked, skin, without salt",
"Potatoes, boiled, cooked in skin, flesh",
"Potatoes, boiled, cooked in skin, skin",
"Potatoes, boiled, cooked without skin, flesh",
"Potatoes, canned, drained solids",
"Potatoes, canned, drained solids, no salt added",
"Potatoes, canned, solids and liquids",
"Potatoes, flesh and skin, raw",
"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",
"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",
"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",
"Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated",
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",
"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",
"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",
"Potatoes, french fried, cross cut, frozen, unprepared",
"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",
"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",
"Potatoes, french fried, wedge cut, frozen, unprepared",
"Potatoes, frozen, french fried, par fried, cottage-cut, prepared, heated in oven, with salt",
"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",
"Potatoes, frozen, french fried, par fried, extruded, unprepared",
"Potatoes, frozen, whole, cooked, boiled, drained",
"Potatoes, gold, without skin, raw",
"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",
"Potatoes, hash brown, frozen, plain, unprepared",
"Potatoes, hash brown, frozen, with butter sauce, prepared",
"Potatoes, hash brown, frozen, with butter sauce, unprepared",
"Potatoes, hash brown, home-prepared",
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",
"Potatoes, hash brown, refrigerated, unprepared",
"Potatoes, mashed, dehydrated, flakes without milk, dry form",
"Potatoes, mashed, dehydrated, granules with milk, dry form",
"Potatoes, mashed, dehydrated, granules without milk, dry form",
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",
"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",
"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",
"Potatoes, mashed, home-prepared, whole milk added",
"Potatoes, mashed, home-prepared, whole milk and butter added",
"Potatoes, mashed, home-prepared, whole milk and margarine added",
"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",
"Potatoes, mashed, ready-to-eat",
"Potatoes, microwaved, cooked in skin, flesh",
"Potatoes, microwaved, cooked in skin, flesh and skin",
"Potatoes, microwaved, cooked in skin, skin, without salt",
"Potatoes, microwaved, cooked, in skin, skin with salt",
"Potatoes, o'brien, frozen, prepared",
"Potatoes, o'brien, frozen, unprepared",
"Potatoes, o'brien, home-prepared",
"Potatoes, raw, skin",
"Potatoes, red, flesh and skin, baked",
"Potatoes, red, flesh and skin, raw",
"Potatoes, red, without skin, raw",
"Potatoes, roasted, salt added in processing, frozen, unprepared",
"Potatoes, russet, without skin, raw",
"Potatoes, scalloped, dry mix, prepared with water, whole milk and butter",
"Potatoes, scalloped, dry mix, unprepared",
"Potatoes, scalloped, home-prepared with butter",
"Potatoes, scalloped, home-prepared with margarine",
"Potatoes, white, flesh and skin, baked",
"Potatoes, white, flesh and skin, raw",
"Potatoes, yellow fleshed, french fried, frozen, unprepared",
"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",
"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",
"Potsticker or wonton, pork and vegetable, frozen, unprepared",
"Prairie Turnips, boiled (Northern Plains Indians)",
"Prairie Turnips, raw (Northern Plains Indians)",
"Pretzels, soft",
"Pretzels, soft, unsalted",
"Prickly pears, broiled (Northern Plains Indians)",
"Prickly pears, raw",
"Prickly pears, raw (Northern Plains Indians)",
"Protein supplement, milk based, Muscle Milk Light, powder",
"Protein supplement, milk based, Muscle Milk, powder",
"Provolone cheese, sliced, non-smoked",
"Provolone cheese, sliced, smoked",
"Prune juice, canned",
Prune puree,
"Prunes, canned, heavy syrup pack, solids and liquids",
"Prunes, dehydrated (low-moisture), stewed",
"Prunes, dehydrated (low-moisture), uncooked",
Pulled pork in barbecue sauce,
"Pummelo, raw",
"Pumpkin flowers, cooked, boiled, drained",
"Pumpkin flowers, raw",
"Pumpkin leaves, cooked, boiled, drained",
"Pumpkin leaves, raw",
"Pumpkin pie mix, canned",
"Pumpkin seeds (pepitas), raw",
"Pumpkin, canned",
"Pumpkin, cooked, boiled, drained",
"Pumpkin, raw",
"Purslane, cooked, boiled, drained",
"Purslane, raw",
"Quinces, raw",
"Quinoa, cooked",
"Quinoa, flour",
"Quinoa, uncooked",
"Radicchio, raw",
"Radish seeds, sprouted, raw",
"Radishes, hawaiian style, pickled",
"Radishes, oriental, cooked, boiled, drained",
"Radishes, oriental, dried",
"Radishes, oriental, raw",
"Radishes, raw",
"Radishes, white icicle, raw",
"Raisins, golden, seedless",
"Raisins, seeded",
"Rambutan, canned, syrup pack",
"Raspberries, canned, red, heavy syrup pack, solids and liquids",
"Raspberries, fresh, raw",
"Raspberries, frozen, red, sweetened",
"Raspberries, frozen, red, unsweetened",
"Raspberries, puree, seedless",
"Raspberries, puree, with seeds",
"Raspberries, raw",
"Raspberries, wild (Northern Plains Indians)",
Raspberry juice concentrate,
"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",
"Ravioli, cheese-filled, canned",
Reddi Wip Fat Free Whipped Topping,
"Refried beans, canned, fat-free",
"Refried beans, canned, traditional style",
"Refried beans, canned, traditional, reduced sodium",
"Refried beans, canned, vegetarian",
"Rhubarb, frozen, cooked, with sugar",
"Rhubarb, frozen, uncooked",
"Rhubarb, raw",
"Rhubarb, wild, leaves (Alaska Native)",
Rice and Wheat cereal bar,
"Rice and vermicelli mix, rice pilaf flavor, prepared with 80% margarine",
"Rice and vermicelli mix, rice pilaf flavor, unprepared",
"Rice bran, crude",
"Rice cake, cracker (include hain mini rice cakes)",
Rice crackers,
"Rice flour, brown",
"Rice flour, white, unenriched",
"Rice mix, cheese flavor, dry mix, unprepared",
"Rice mix, white and wild, flavored, unprepared",
"Rice noodles, cooked",
"Rice noodles, dry",
"Rice, black, unenriched, raw",
"Rice, brown, long grain, unenriched, raw",
"Rice, red, unenriched, dry, raw",
"Rice, white, glutinous, unenriched, cooked",
"Rice, white, glutinous, unenriched, uncooked",
"Rice, white, long grain, unenriched, raw",
"Rice, white, long-grain, parboiled, enriched, cooked",
"Rice, white, long-grain, parboiled, enriched, dry",
"Rice, white, long-grain, parboiled, unenriched, cooked",
"Rice, white, long-grain, parboiled, unenriched, dry",
"Rice, white, long-grain, precooked or instant, enriched, dry",
"Rice, white, long-grain, precooked or instant, enriched, prepared",
"Rice, white, long-grain, regular, cooked, enriched, with salt",
"Rice, white, long-grain, regular, cooked, unenriched, with salt",
"Rice, white, long-grain, regular, enriched, cooked",
"Rice, white, long-grain, regular, raw, enriched",
"Rice, white, long-grain, regular, raw, unenriched",
"Rice, white, long-grain, regular, unenriched, cooked without salt",
"Rice, white, medium-grain, cooked, unenriched",
"Rice, white, medium-grain, enriched, cooked",
"Rice, white, medium-grain, raw, enriched",
"Rice, white, medium-grain, raw, unenriched",
"Rice, white, short-grain, cooked, unenriched",
"Rice, white, short-grain, enriched, cooked",
"Rice, white, short-grain, enriched, uncooked",
"Rice, white, short-grain, raw, unenriched",
"Rice, white, steamed, Chinese restaurant",
"Ricotta cheese, whole milk",
"Rose Hips, wild (Northern Plains Indians)",
"Rose-apples, raw",
"Roselle, raw",
"Rosemary, fresh",
"Rowal, raw",
"Rutabaga, peeled, raw",
"Rutabagas, cooked, boiled, drained",
"Rutabagas, raw",
"Rye flour, dark",
"Rye flour, light",
"Rye flour, medium",
Rye grain,
"Rye, flour",
"Salad Dressing, coleslaw, reduced fat",
"Salad Dressing, mayonnaise-like, fat-free",
"Salad dressing, blue or roquefort cheese dressing, commercial, regular",
"Salad dressing, blue or roquefort cheese dressing, fat-free",
"Salad dressing, blue or roquefort cheese dressing, light",
"Salad dressing, blue or roquefort cheese, low calorie",
"Salad dressing, buttermilk, lite",
"Salad dressing, caesar dressing, regular",
"Salad dressing, caesar, fat-free",
"Salad dressing, caesar, low calorie",
"Salad dressing, coleslaw",
"Salad dressing, french dressing, commercial, regular",
"Salad dressing, french dressing, commercial, regular, without salt",
"Salad dressing, french dressing, fat-free",
"Salad dressing, french dressing, reduced calorie",
"Salad dressing, french dressing, reduced fat",
"Salad dressing, french dressing, reduced fat, without salt",
"Salad dressing, french, cottonseed, oil, home recipe",
"Salad dressing, french, home recipe",
"Salad dressing, green goddess, regular",
"Salad dressing, home recipe, vinegar and oil",
"Salad dressing, honey mustard dressing, reduced calorie",
"Salad dressing, honey mustard, regular",
"Salad dressing, italian dressing, commercial, reduced fat",
"Salad dressing, italian dressing, commercial, regular",
"Salad dressing, italian dressing, commercial, regular, without salt",
"Salad dressing, italian dressing, fat-free",
"Salad dressing, italian dressing, reduced calorie",
"Salad dressing, italian dressing, reduced fat, without salt",
"Salad dressing, mayonnaise and mayonnaise-type, low calorie",
"Salad dressing, mayonnaise type, regular, with salt",
"Salad dressing, mayonnaise, imitation, milk cream",
"Salad dressing, mayonnaise, imitation, soybean",
"Salad dressing, mayonnaise, imitation, soybean without cholesterol",
"Salad dressing, mayonnaise, light",
"Salad dressing, mayonnaise, regular",
"Salad dressing, mayonnaise, soybean and safflower oil, with salt",
"Salad dressing, mayonnaise, soybean oil, without salt",
"Salad dressing, mayonnaise-type, light",
"Salad dressing, peppercorn dressing, commercial, regular",
"Salad dressing, poppyseed, creamy",
"Salad dressing, ranch dressing, fat-free",
"Salad dressing, ranch dressing, reduced fat",
"Salad dressing, ranch dressing, regular",
"Salad dressing, russian dressing",
"Salad dressing, russian dressing, low calorie",
"Salad dressing, sesame seed dressing, regular",
"Salad dressing, spray-style dressing, assorted flavors",
"Salad dressing, sweet and sour",
"Salad dressing, thousand island dressing, fat-free",
"Salad dressing, thousand island dressing, reduced fat",
"Salad dressing, thousand island, commercial, regular",
Salsa,
"Salsify, (vegetable oyster), raw",
"Salsify, cooked, boiled, drained",
"Salt, Iodized",
"Salt, Not Iodized",
"Salt, table",
"Salt, table, iodized",
Salt; iodized,
"Sandwich spread, with chopped pickle, regular, unspecified oils",
"Sapodilla, raw",
"Sapote, mamey, raw",
"Sauce, alfredo mix, dry",
"Sauce, barbecue",
"Sauce, cheese sauce mix, dry",
"Sauce, cheese, ready-to-serve",
"Sauce, chili, peppers, hot, immature green, canned",
"Sauce, cocktail, ready-to-serve",
"Sauce, duck, ready-to-serve",
"Sauce, enchilada, red, mild, ready to serve",
"Sauce, hoisin, ready-to-serve",
"Sauce, homemade, white, medium",
"Sauce, homemade, white, thick",
"Sauce, horseradish",
"Sauce, hot chile, sriracha",
"Sauce, oyster, ready-to-serve",
"Sauce, pasta, spaghetti/marinara, ready-to-serve",
"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",
"Sauce, peanut, made from coconut, water, sugar, peanuts",
"Sauce, peanut, made from peanut butter, water, soy sauce",
"Sauce, peppers, hot, chili, mature red, canned",
"Sauce, pesto, ready-to-serve, refrigerated",
"Sauce, pesto, ready-to-serve, shelf stable",
"Sauce, pizza, canned, ready-to-serve",
"Sauce, plum, ready-to-serve",
"Sauce, ready-to-serve, pepper or hot",
"Sauce, salsa, ready-to-serve",
"Sauce, salsa, verde, ready-to-serve",
"Sauce, sofrito, prepared from recipe",
"Sauce, sweet and sour, prepared-from-recipe",
"Sauce, sweet and sour, ready-to-serve",
"Sauce, tartar, ready-to-serve",
"Sauce, teriyaki, ready-to-serve",
"Sauce, teriyaki, ready-to-serve, reduced sodium",
"Sauce, tomato chili sauce, bottled, with salt",
"Sauce, white, thin, prepared-from-recipe, with butter",
"Sauce, worcestershire",
"Sauerkraut, canned, solids and liquids",
"Sausage, egg and cheese breakfast biscuit",
"Sea cucumber, yane (Alaska Native)",
"Seasoning mix, dry, chili, original",
"Seasoning mix, dry, sazon, coriander & annatto",
"Seasoning mix, dry, taco, original",
"Seaweed, agar, dried",
"Seaweed, agar, raw",
"Seaweed, irishmoss, raw",
"Seaweed, kelp, raw",
"Seaweed, laver, raw",
"Seaweed, spirulina, dried",
"Seaweed, spirulina, raw",
"Seaweed, wakame, raw",
"Seeds, breadfruit seeds, boiled",
"Seeds, breadfruit seeds, raw",
"Seeds, breadfruit seeds, roasted",
"Seeds, breadnut tree seeds, dried",
"Seeds, breadnut tree seeds, raw",
"Seeds, chia seeds, dried",
"Seeds, cottonseed flour, low fat (glandless)",
"Seeds, cottonseed flour, partially defatted (glandless)",
"Seeds, cottonseed kernels, roasted (glandless)",
"Seeds, cottonseed meal, partially defatted (glandless)",
"Seeds, flaxseed",
"Seeds, hemp seed, hulled",
"Seeds, lotus seeds, dried",
"Seeds, lotus seeds, raw",
"Seeds, pumpkin and squash seed kernels, dried",
"Seeds, pumpkin and squash seed kernels, roasted",
"Seeds, pumpkin and squash seeds, whole, roasted",
"Seeds, pumpkin seeds (pepitas), raw",
"Seeds, safflower seed kernels, dried",
"Seeds, safflower seed meal, partially defatted",
"Seeds, sesame butter, paste",
"Seeds, sesame butter, tahini, from raw and stone ground kernels",
"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",
"Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)",
"Seeds, sesame butter, tahini, type of kernels unspecified",
"Seeds, sesame flour, high-fat",
"Seeds, sesame flour, low-fat",
"Seeds, sesame flour, partially defatted",
"Seeds, sesame meal, partially defatted",
"Seeds, sesame seed kernels, dried (decorticated)",
"Seeds, sesame seed kernels, toasted (decorticated)",
"Seeds, sesame seeds, whole, dried",
"Seeds, sesame seeds, whole, roasted and toasted",
"Seeds, sisymbrium sp. seeds, whole, dried",
"Seeds, sunflower seed butter, without salt",
"Seeds, sunflower seed flour, partially defatted",
"Seeds, sunflower seed kernels from shell, dry roasted, with salt added",
"Seeds, sunflower seed kernels, dried",
"Seeds, sunflower seed kernels, dry roasted",
"Seeds, sunflower seed kernels, dry roasted, with salt added",
"Seeds, sunflower seed kernels, oil roasted",
"Seeds, sunflower seed kernels, toasted",
"Seeds, sunflower seed, kernel, raw",
"Seeds, watermelon seed kernels, dried",
"Semolina, enriched",
"Semolina, unenriched",
"Sesame butter, creamy",
"Sesame seed butter (tahini), creamy",
"Sesbania flower, cooked, steamed",
"Sesbania flower, raw",
"Shake, fast food, vanilla",
"Shallots, bulb, peeled, root removed, raw",
"Shallots, freeze-dried",
"Shallots, raw",
"Shortening bread, soybean (hydrogenated) and cottonseed",
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",
"Shortening frying (heavy duty), palm (hydrogenated)",
"Shortening frying (heavy duty), soybean (hydrogenated), linoleic (less than 1%)",
Shortening household soybean (hydrogenated) and palm,
"Shortening industrial, lard and vegetable oil",
"Shortening industrial, soybean (hydrogenated) and cottonseed",
"Shortening, confectionery, fractionated palm",
"Shortening, household, lard and vegetable oil",
"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",
"Shortening, industrial, soy (partially hydrogenated ) and corn for frying",
"Shortening, industrial, soy (partially hydrogenated ) for baking and confections",
"Shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",
"Shortening, multipurpose, soybean (hydrogenated) and palm (hydrogenated)",
"Shortening, special purpose for baking, soybean (hydrogenated) palm and cottonseed",
"Shortening, special purpose for cakes and frostings, soybean (hydrogenated)",
"Shortening, vegetable, household, composite",
"Smelt, dried (Alaska Native)",
"Snack, Mixed Berry Bar",
"Snack, Pretzel, hard chocolate coated",
"Snack, potato chips, made from dried potatoes, plain",
"Snacks, Pretzels, gluten- free made with cornstarch and potato flour",
"Snacks, bagel chips, plain",
"Snacks, banana chips",
"Snacks, brown rice chips",
"Snacks, candy bits, yogurt covered with vitamin C",
"Snacks, candy rolls, yogurt-covered, fruit flavored with high vitamin C",
"Snacks, corn cakes",
"Snacks, corn cakes, very low sodium",
"Snacks, corn-based, extruded, chips, barbecue-flavor",
"Snacks, corn-based, extruded, chips, barbecue-flavor, made with enriched masa flour",
"Snacks, corn-based, extruded, chips, plain",
"Snacks, corn-based, extruded, chips, unsalted",
"Snacks, corn-based, extruded, cones, plain",
"Snacks, corn-based, extruded, onion-flavor",
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",
"Snacks, cornnuts, barbecue-flavor",
"Snacks, crisped rice bar, almond",
"Snacks, crisped rice bar, chocolate chip",
"Snacks, fruit leather, pieces, with vitamin C",
"Snacks, granola bar, chewy, reduced sugar, all flavors",
"Snacks, granola bar, fruit-filled, nonfat",
"Snacks, granola bar, with coconut, chocolate coated",
"Snacks, granola bars, hard, almond",
"Snacks, granola bars, hard, chocolate chip",
"Snacks, granola bars, hard, peanut butter",
"Snacks, granola bars, hard, plain",
"Snacks, granola bars, soft, almond, confectioners coating",
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",
"Snacks, granola bars, soft, uncoated, chocolate chip",
"Snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow",
"Snacks, granola bars, soft, uncoated, nut and raisin",
"Snacks, granola bars, soft, uncoated, peanut butter",
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",
"Snacks, granola bars, soft, uncoated, plain",
"Snacks, granola bars, soft, uncoated, raisin",
"Snacks, granola bites, mixed flavors",
"Snacks, oriental mix, rice-based",
"Snacks, peas, roasted, wasabi-flavored",
"Snacks, pita chips, salted",
"Snacks, plantain chips, salted",
"Snacks, popcorn, air-popped",
"Snacks, popcorn, air-popped (Unsalted)",
"Snacks, popcorn, cakes",
"Snacks, popcorn, caramel-coated, with peanuts",
"Snacks, popcorn, caramel-coated, without peanuts",
"Snacks, popcorn, cheese-flavor",
"Snacks, popcorn, home-prepared, oil-popped, unsalted",
"Snacks, popcorn, microwave, 94% fat free",
"Snacks, popcorn, microwave, low fat",
"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",
"Snacks, popcorn, oil-popped, white popcorn, salt added",
"Snacks, pork skins, barbecue-flavor",
"Snacks, pork skins, plain",
"Snacks, potato chips, barbecue-flavor",
"Snacks, potato chips, cheese-flavor",
"Snacks, potato chips, fat free, salted",
"Snacks, potato chips, fat-free, made with olestra",
"Snacks, potato chips, lightly salted",
"Snacks, potato chips, made from dried potatoes (preformed), multigrain",
"Snacks, potato chips, made from dried potatoes, cheese-flavor",
"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",
"Snacks, potato chips, made from dried potatoes, reduced fat",
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",
"Snacks, potato chips, plain, made with partially hydrogenated soybean oil, salted",
"Snacks, potato chips, plain, made with partially hydrogenated soybean oil, unsalted",
"Snacks, potato chips, plain, salted",
"Snacks, potato chips, plain, unsalted",
"Snacks, potato chips, reduced fat",
"Snacks, potato chips, sour-cream-and-onion-flavor",
"Snacks, potato chips, white, restructured, baked",
"Snacks, potato sticks",
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",
"Snacks, pretzels, hard, plain, made with enriched flour, unsalted",
"Snacks, pretzels, hard, plain, made with unenriched flour, salted",
"Snacks, pretzels, hard, plain, made with unenriched flour, unsalted",
"Snacks, pretzels, hard, plain, salted",
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",
"Snacks, rice cakes, brown rice, buckwheat",
"Snacks, rice cakes, brown rice, buckwheat, unsalted",
"Snacks, rice cakes, brown rice, corn",
"Snacks, rice cakes, brown rice, multigrain",
"Snacks, rice cakes, brown rice, multigrain, unsalted",
"Snacks, rice cakes, brown rice, plain, unsalted",
"Snacks, rice cakes, brown rice, rye",
"Snacks, rice cakes, brown rice, sesame seed",
"Snacks, rice cakes, brown rice, sesame seed, unsalted",
"Snacks, rice cracker brown rice, plain",
"Snacks, sesame sticks, wheat-based, salted",
"Snacks, sesame sticks, wheat-based, unsalted",
"Snacks, shrimp cracker",
"Snacks, soy chips or crisps, salted",
"Snacks, sweet potato chips, unsalted",
"Snacks, taro chips",
"Snacks, tortilla chips, light (baked with less oil)",
"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",
"Snacks, tortilla chips, low fat, unsalted",
"Snacks, tortilla chips, nacho cheese",
"Snacks, tortilla chips, nacho-flavor, made with enriched masa flour",
"Snacks, tortilla chips, nacho-flavor, reduced fat",
"Snacks, tortilla chips, plain, white corn, salted",
"Snacks, tortilla chips, ranch-flavor",
"Snacks, tortilla chips, taco-flavor",
"Snacks, tortilla chips, unsalted, white corn",
"Snacks, trail mix, regular",
"Snacks, trail mix, regular, unsalted",
"Snacks, trail mix, regular, with chocolate chips, salted nuts and seeds",
"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",
"Snacks, trail mix, tropical",
"Snacks, vegetable chips, made from garden vegetables",
"Snacks, yucca (cassava) chips, salted",
"Sorghum bran, white, unenriched, dry, raw",
"Sorghum flour, refined, unenriched",
"Sorghum flour, white, pearled, unenriched, dry, raw",
"Sorghum flour, whole-grain",
Sorghum grain,
"Sorghum grain, white, pearled, unenriched, dry, raw",
"Sorghum, flour",
"Sorghum, whole grain, white, dry, raw",
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",
"Soup, bean with frankfurters, canned, condensed",
"Soup, bean with frankfurters, canned, prepared with equal volume water",
"Soup, bean with ham, canned, chunky, ready-to-serve",
"Soup, bean with pork, canned, condensed",
"Soup, bean with pork, canned, prepared with equal volume water",
"Soup, black bean, canned, condensed",
"Soup, black bean, canned, prepared with equal volume water",
"Soup, bouillon cubes and granules, low sodium, dry",
"Soup, broccoli cheese, canned, condensed, commercial",
"Soup, cheese, canned, condensed",
"Soup, cheese, canned, prepared with equal volume milk",
"Soup, cheese, canned, prepared with equal volume water",
"Soup, chunky vegetable, canned, ready-to-serve",
"Soup, chunky vegetable, reduced sodium, canned, ready-to-serve",
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",
"Soup, clam chowder, manhattan, canned, condensed",
"Soup, clam chowder, manhattan, canned, prepared with equal volume water",
"Soup, clam chowder, new england, canned, condensed",
"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",
"Soup, clam chowder, new england, canned, prepared with equal volume water",
"Soup, clam chowder, new england, canned, ready-to-serve",
"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",
"Soup, cream of asparagus, canned, condensed",
"Soup, cream of asparagus, canned, prepared with equal volume milk",
"Soup, cream of asparagus, canned, prepared with equal volume water",
"Soup, cream of celery, canned, condensed",
"Soup, cream of celery, canned, prepared with equal volume milk",
"Soup, cream of celery, canned, prepared with equal volume water",
"Soup, cream of mushroom, canned, condensed",
"Soup, cream of mushroom, canned, condensed, reduced sodium",
"Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk",
"Soup, cream of mushroom, canned, prepared with equal volume water",
"Soup, cream of mushroom, low sodium, ready-to-serve, canned",
"Soup, cream of onion, canned, condensed",
"Soup, cream of onion, canned, prepared with equal volume milk",
"Soup, cream of onion, canned, prepared with equal volume water",
"Soup, cream of potato, canned, condensed",
"Soup, cream of potato, canned, prepared with equal volume milk",
"Soup, cream of potato, canned, prepared with equal volume water",
"Soup, cream of shrimp, canned, condensed",
"Soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk",
"Soup, cream of shrimp, canned, prepared with equal volume water",
"Soup, cream of vegetable, dry, powder",
"Soup, egg drop, Chinese restaurant",
"Soup, hot and sour, Chinese restaurant",
"Soup, lentil with ham, canned, ready-to-serve",
"Soup, minestrone, canned, chunky, ready-to-serve",
"Soup, minestrone, canned, condensed",
"Soup, minestrone, canned, prepared with equal volume water",
"Soup, minestrone, canned, reduced sodium, ready-to-serve",
"Soup, mushroom barley, canned, condensed",
"Soup, mushroom barley, canned, prepared with equal volume water",
"Soup, onion, canned, condensed",
"Soup, onion, dry, mix",
"Soup, onion, dry, mix, prepared with water",
"Soup, oyster stew, canned, condensed",
"Soup, oyster stew, canned, prepared with equal volume milk",
"Soup, oyster stew, canned, prepared with equal volume water",
"Soup, pea, green, canned, condensed",
"Soup, pea, green, canned, prepared with equal volume milk",
"Soup, pea, green, canned, prepared with equal volume water",
"Soup, pea, low sodium, prepared with equal volume water",
"Soup, pea, split with ham, canned, chunky, ready-to-serve",
"Soup, pea, split with ham, canned, condensed",
"Soup, pea, split with ham, canned, prepared with equal volume water",
"Soup, ramen noodle, any flavor, dry",
"Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium",
"Soup, shark fin, restaurant-prepared",
"Soup, tomato bisque, canned, condensed",
"Soup, tomato bisque, canned, prepared with equal volume milk",
"Soup, tomato bisque, canned, prepared with equal volume water",
"Soup, tomato rice, canned, condensed",
"Soup, tomato rice, canned, prepared with equal volume water",
"Soup, tomato, canned, condensed",
"Soup, tomato, canned, condensed, reduced sodium",
"Soup, tomato, canned, prepared with equal volume low fat (2%) milk",
"Soup, tomato, canned, prepared with equal volume water, commercial",
"Soup, tomato, dry, mix, prepared with water",
"Soup, tomato, low sodium, with water",
"Soup, vegetable broth, ready to serve",
"Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",
"Soup, vegetable, canned, low sodium, condensed",
"Soup, vegetarian vegetable, canned, condensed",
"Soup, vegetarian vegetable, canned, prepared with equal volume water",
"Soup, wonton, Chinese restaurant",
"Sour cream, fat free",
"Sour cream, full fat",
"Sour cream, imitation, cultured",
"Sour cream, light",
"Sour cream, reduced fat",
"Sour dressing, non-butterfat, cultured, filled cream-type",
"Sourdock, young leaves (Alaska Native)",
"Soursop, raw",
"Soy flour, defatted",
"Soy flour, full-fat, raw",
"Soy flour, full-fat, roasted",
"Soy flour, low-fat",
"Soy meal, defatted, raw",
"Soy milk, refrigerated, sweetened",
"Soy milk, sweetened, plain, refrigerated",
"Soy milk, unsweetened, plain, shelf stable",
"Soy protein concentrate, produced by acid wash",
"Soy protein concentrate, produced by alcohol extraction",
Soy protein isolate,
"Soy protein isolate, potassium type",
Soy sauce made from hydrolyzed vegetable protein,
Soy sauce made from soy (tamari),
Soy sauce made from soy and wheat (shoyu),
"Soy sauce made from soy and wheat (shoyu), low sodium",
"Soy sauce, reduced sodium, made from hydrolyzed vegetable protein",
Soybean oil,
"Soybean, curd cheese",
"Soybeans, green, cooked, boiled, drained",
"Soybeans, green, raw",
"Soybeans, mature cooked, boiled, without salt",
"Soybeans, mature seeds, cooked, boiled, with salt",
"Soybeans, mature seeds, dry roasted",
